ID,Latitude,Longitude,rainfall_total_30d_mm,rainfall_mean_daily_mm,rainfall_max_daily_mm,rainfall_std_daily_mm,rainfall_7d_mm,rainfall_15d_mm,rainfall_30d_mm,rainfall_max_7d_mm,rainfall_max_15d_mm,rainfall_max_30d_mm
SLD09647,11.598723,75.96794,6.758015915751457,0.2252671971917152,2.402118682861328,0.4306150230970758,1.126672759652137,1.4162956103682514,6.758015915751457,0.4001103937625885,0.4001103937625885,2.402118682861328
SLD09648,14.700428,74.298803,0.0997656676918265,0.0033255222563942,0.0199531335383653,0.0075632157493516,0.0997656676918265,0.0997656676918265,0.0997656676918265,0.0199531335383653,0.0199531335383653,0.0199531335383653
SLD09649,12.648067,75.075902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09650,11.096322,77.391537,0.361359678208828,0.0120453226069609,0.0722719356417656,0.0273946065078414,0.0,0.0,0.361359678208828,0.0,0.0,0.0722719356417656
SLD09651,15.288199,74.773279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09652,10.524121,76.983026,10.58743441104889,0.3529144803682963,4.607052803039551,0.8765437032672099,0.0,0.0,10.58743441104889,0.0,0.0,4.607052803039551
SLD09653,10.469408,76.063628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09654,17.352782,73.708043,1.300674681551754,0.0433558227183918,0.1187146082520484,0.0464898808423867,0.0745234116911888,0.186308529227972,1.300674681551754,0.0372617058455944,0.0372617058455944,0.1187146082520484
SLD09655,12.585012,76.181873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09656,18.036771,73.253046,0.1799548836424939,0.0059984961214164,0.0249361600726842,0.0095423675598328,0.055274083279073,0.055274083279073,0.1799548836424939,0.0110548166558146,0.0110548166558146,0.0249361600726842
SLD09657,18.006518,74.094929,0.5127820698544374,0.0170927356618145,0.0697458907961845,0.0260160343669885,0.0,0.0,0.5127820698544374,0.0,0.0,0.0697458907961845
SLD09658,8.746009,77.205853,32.29993090033531,1.0766643633445103,12.690936088562012,2.47928847304594,5.15939712524414,7.259735345840453,32.29993090033531,1.031879425048828,2.100338220596313,12.690936088562012
SLD09659,11.15066,76.04876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09660,12.658141,74.932736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09661,11.944965,75.374873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09662,10.096897,76.53495,0.578009858727455,0.0192669952909151,0.115601971745491,0.0438188143070602,0.0,0.0,0.578009858727455,0.0,0.0,0.115601971745491
SLD09663,12.76143,75.438657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09664,9.508557,77.538348,0.7147722318768501,0.0238257410625616,0.4208221435546875,0.0791575159122696,0.0,0.0,0.7147722318768501,0.0,0.0,0.4208221435546875
SLD09665,9.979778,77.463511,0.0193210314027961,0.0006440343800932,0.0153699237853288,0.0028020905090441,0.0,0.0,0.0193210314027961,0.0,0.0,0.0153699237853288
SLD09666,18.663276,74.079247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09667,10.235757,76.755356,4.284695461392403,0.1428231820464134,2.1290628910064697,0.4046289728827269,0.0,0.0,4.284695461392403,0.0,0.0,2.1290628910064697
SLD09668,18.85721,73.960386,0.1391308638267215,0.0046376954608907,0.0215606782585382,0.0080415939539288,0.0,0.0,0.1391308638267215,0.0,0.0,0.0215606782585382
SLD09669,10.272852,76.406716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09670,14.553114,74.963964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09671,11.375359,76.528873,9.946982227498664,0.3315660742499555,2.480920791625977,0.6925216847979518,0.1801808231975881,0.2069025384262199,9.946982227498664,0.0856487154960632,0.0856487154960632,2.480920791625977
SLD09672,16.782779,73.34256,0.0911593157798049,0.0030386438593268,0.018231863155961,0.0069107698946661,0.0,0.0,0.0911593157798049,0.0,0.0,0.018231863155961
SLD09673,17.537512,73.687526,2.046156767755747,0.0682052255918582,0.9891619682312012,0.180294936928359,0.0858797430992126,0.3627729266881941,2.046156767755747,0.0429398715496063,0.1480735689401626,0.9891619682312012
SLD09674,10.485068,76.234828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09675,16.937361,73.852201,1.502033025026321,0.0500677675008773,0.1662515848875045,0.0726309410238669,0.0,0.0,1.502033025026321,0.0,0.0,0.1662515848875045
SLD09676,13.419798,75.632728,4.459341045469046,0.1486447015156348,1.1766947507858276,0.202725656729324,1.016560018062591,1.7335430346429344,4.459341045469046,0.1459689289331436,0.1459689289331436,1.1766947507858276
SLD09677,10.070254,76.503293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09678,18.036886,73.951305,0.6130254408344618,0.0204341813611487,0.2083890885114669,0.0399360536245127,0.0,0.0,0.6130254408344618,0.0,0.0,0.2083890885114669
SLD09679,18.511825,73.019108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09680,17.689945,73.85421,0.7445437205024052,0.0248181240167468,0.0818679556250572,0.0342940443766023,0.0,0.0,0.7445437205024052,0.0,0.0,0.0818679556250572
SLD09681,12.50999,76.256241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09682,13.875606,74.751768,0.0135177257470785,0.0004505908582359,0.0027035451494157,0.0010247761442496,0.0135177257470785,0.0135177257470785,0.0135177257470785,0.0027035451494157,0.0027035451494157,0.0027035451494157
SLD09683,11.860679,76.189603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09684,10.773961,77.52214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09685,12.921452,75.380454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09686,8.852454,77.159521,9.145068623125551,0.3048356207708517,2.9983155727386475,0.6377490815679823,1.7088806629180906,1.7088806629180906,9.145068623125551,0.3417761325836181,0.3417761325836181,2.9983155727386475
SLD09687,18.678236,73.346218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09688,14.929131,74.679594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09689,12.996558,74.857651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09690,16.058625,73.964398,0.6138766207732251,0.0204625540257741,0.0647173076868057,0.0248587860484359,0.1064170398749407,0.2319671423174435,0.6138766207732251,0.0418500341475009,0.0418500341475009,0.0647173076868057
SLD09691,10.103658,76.369768,1.0953732132911678,0.0365124404430389,0.4381492733955383,0.0946801991746567,0.0,0.0,1.0953732132911678,0.0,0.0,0.4381492733955383
SLD09692,9.851798,76.553741,0.084439218044281,0.002814640601476,0.0168878436088562,0.0064013206000701,0.084439218044281,0.084439218044281,0.084439218044281,0.0168878436088562,0.0168878436088562,0.0168878436088562
SLD09693,12.524839,75.121565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09694,10.681019,77.68547,1.3311785655096176,0.0443726188503205,1.2027716636657717,0.2189817129675599,0.0,0.0,1.3311785655096176,0.0,0.0,1.2027716636657717
SLD09695,9.908282,77.346132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09696,18.007771,74.039457,0.6732704541645934,0.0224423484721531,0.2494869977235794,0.0469817527893932,0.0,0.0,0.6732704541645934,0.0,0.0,0.2494869977235794
SLD09697,13.43793,75.549809,1.7791585652157662,0.0593052855071922,0.6149117350578308,0.1109474641564138,0.5660681501030922,0.75673907995224,1.7791585652157662,0.0877908393740654,0.0877908393740654,0.6149117350578308
SLD09698,12.190057,76.015273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09699,15.403777,73.796753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09700,16.115067,73.6051,0.1076744031161065,0.0035891467705368,0.0215348806232213,0.0081627754345846,0.0,0.0,0.1076744031161065,0.0,0.0,0.0215348806232213
SLD09701,16.508286,73.749317,0.3492914768867187,0.0116430492295572,0.0455458275973796,0.0168758470618857,0.0105139492079614,0.0262848730199035,0.3492914768867187,0.0052569746039807,0.0052569746039807,0.0455458275973796
SLD09702,8.951335,76.83085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09703,8.899204,76.847647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09704,18.87974,73.18222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09705,12.198,76.27304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09706,12.362185,76.163713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09707,16.490585,74.332826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09708,13.016696,75.301197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09709,16.76224,74.026779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09710,8.800658,77.39398,3.246501922607422,0.1082167307535807,1.4204620122909546,0.3390600563124226,0.9251143932342528,0.9251143932342528,3.246501922607422,0.9251143932342528,0.9251143932342528,1.4204620122909546
