ID,Category,Latitude,Longitude
SLD_04212,Landslide,13.078177,75.456289
SLD_04213,Landslide,13.078178,75.46733889
SLD_04214,Landslide,13.0783,75.472707
SLD_04215,Landslide,13.078566,75.456008
SLD_04216,Landslide,13.078608,75.470159
SLD_04217,Landslide,13.078644,75.46679167
SLD_04218,Landslide,13.078949,75.455903
SLD_04219,Landslide,13.079058,75.469755
SLD_04220,Landslide,13.079239,75.46351667
SLD_04221,Landslide,13.079364,75.464196
SLD_04222,Landslide,13.079486,75.46603056
SLD_04223,Landslide,13.079549,75.464559
SLD_04224,Landslide,13.079637,75.469516
SLD_04225,Landslide,13.079667,75.46550833
SLD_04226,Landslide,13.079733,75.464753
SLD_04227,Landslide,13.080787,75.469624
SLD_04228,Landslide,13.082456,75.46934167
SLD_04229,Landslide,13.084009,75.470221
SLD_04230,Landslide,13.084572,75.47103056
SLD_04231,Landslide,13.084891,75.472348
SLD_04232,Landslide,13.085391,75.47301
SLD_04233,Landslide,13.085492,75.473352
SLD_04234,Landslide,13.085655,75.473706
SLD_04235,Landslide,13.086033,75.474045
SLD_04236,Landslide,13.086249,75.474072
SLD_04237,Landslide,13.086435,75.473919
SLD_04238,Landslide,13.08691,75.473671
SLD_04239,Landslide,13.088181,75.47380556
SLD_04240,Landslide,13.089681,75.47438056
SLD_04241,Landslide,13.09,74.91
SLD_04242,Landslide,13.09,74.91
SLD_04243,Landslide,13.09,74.88
SLD_04244,Landslide,13.090333,75.47455556
SLD_04245,Landslide,13.090578,75.47761111
SLD_04246,Landslide,13.090733,75.47833611
SLD_04247,Landslide,13.09092,75.475315
SLD_04248,Landslide,13.091005,75.475531
SLD_04249,Landslide,13.091261,75.47685833
SLD_04250,Landslide,13.091597,75.556144
SLD_04251,Landslide,13.091688,75.479002
SLD_04252,Landslide,13.092426,75.478595
SLD_04253,Landslide,13.093286,75.47829167
SLD_04254,Landslide,13.094038,75.478104
SLD_04255,Landslide,13.094198,75.47805
SLD_04256,Landslide,13.094642,75.47752778
SLD_04257,Landslide,13.094917,75.47715556
SLD_04258,Landslide,13.095556,75.477688
SLD_04259,Landslide,13.096064,75.47753889
SLD_04260,Landslide,13.096222,75.48119444
SLD_04261,Landslide,13.096667,75.47930556
SLD_04262,Landslide,13.096861,75.47791667
SLD_04263,Landslide,13.097222,75.47806944
SLD_04264,Landslide,13.097436,75.47825833
SLD_04265,Landslide,13.097514,75.480175
SLD_04266,Landslide,13.097539,75.480859
SLD_04267,Landslide,13.097806,75.47887222
SLD_04268,Landslide,13.097911,75.479737
SLD_04269,Landslide,13.098131,75.47928889
SLD_04270,Landslide,13.098378,75.481485
SLD_04271,Landslide,13.1,74.93
SLD_04272,Landslide,13.1,74.94
SLD_04273,Landslide,13.100089,75.482283
SLD_04274,Landslide,13.101297,75.48253333
SLD_04275,Landslide,13.101861,75.48300833
SLD_04276,Landslide,13.1035,75.4836
SLD_04277,Landslide,13.104048,75.483368
SLD_04278,Landslide,13.104411,75.48301944
SLD_04279,Landslide,13.105639,75.48262222
SLD_04280,Landslide,13.106722,75.48249444
SLD_04281,Landslide,13.107025,75.48259167
SLD_04282,Landslide,13.107556,75.48374444
SLD_04283,Landslide,13.107558,75.48317222
SLD_04284,Landslide,13.107714,75.48334167
