S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name,Elevation_m,Slope_deg,ID,rainfall_total_30d_mm,rainfall_mean_daily_mm,rainfall_max_daily_mm,rainfall_std_daily_mm,rainfall_7d_mm,rainfall_15d_mm,rainfall_30d_mm,rainfall_max_7d_mm,rainfall_max_15d_mm,rainfall_max_30d_mm,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range,Land_Cover_Type,Land_Cover_QC,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
5733,1,1,13.87,74.9,Karnataka,Shimoga,Hosanagara,Debris,Slide,,,Kodachadri,743.8375244140625,3.311603827030432,SLD04868,0.2117793262004849,0.0070593108733494,0.042355865240097,0.0160549492863046,0.0,0.0,0.2117793262004849,0.0,0.0,0.042355865240097,0.8232923076923077,0.0298582055036372,0.7455,0.8755,13,0.1299999999999999,2.0,0.0,18.1,42.2,22.8,30.2,1.1,5.4
36468,0,0,11.397787,77.142371,Western Ghats Region,Background / Unspecified,,,,,,,296.895263671875,2.145997753490845,SLD09163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53117,0.1130540676425502,0.3591,0.7629,20,0.4038,12.0,0.0,17.7,46.6,17.0,14.3,1.4,7.5
6137,1,1,14.51,74.81,Karnataka,Uttara Kannada,Siddapur,Soil,Slide,2020.0,,Dantekal village,547.5791015625,20.26367028073178,SLD05271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743064705882353,0.1068006258243395,0.3594,0.8502,17,0.4907999999999999,2.0,0.0,15.9,47.9,21.7,19.2,1.25,5.6
5114,1,1,13.109917,75.48756389,Karnataka,Chikkamagaluru,Mudigere,Debris,Slide,,,,848.6780395507812,32.46003263275814,SLD04294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753125,0.0466501518396957,0.6899,0.8526,16,0.1627,8.0,0.0,25.2,39.4,19.4,31.0,1.08,5.4
1036,1,1,9.940399,76.93293,Kerala,Idukki,Idukki,Debris,Slide,,,Churulipathal I,635.6755981445312,27.20172088053931,SLD01034,9.240312814712524,0.3080104271570841,5.140906810760498,0.986697949807668,0.0,0.0,9.240312814712524,0.0,0.0,5.140906810760498,0.85234375,0.0347481216518725,0.8069,0.942,16,0.1351,8.0,0.0,26.1,37.4,23.0,32.0,1.02,5.1
146,1,1,9.556714,76.972888,Kerala,Idukki,Peerumade,Debris,Slide,,,Murinjapuzha,784.5964965820312,34.196341924545656,SLD00144,7.230214755050838,0.2410071585016946,4.710376739501953,0.9031474237645534,0.0,0.0,7.230214755050838,0.0,0.0,4.710376739501953,0.8072642857142858,0.1002088941787478,0.5529,0.9982,14,0.4453,2.0,0.0,21.5,33.5,30.0,35.4,1.07,5.1
37849,0,0,18.468492,73.925123,Western Ghats Region,Background / Unspecified,,,,,,,608.9214477539062,2.7056202409734635,SLD10441,0.0360190565697845,0.0012006352189928,0.0072038113139569,0.0027305976317111,0.0,0.0,0.0360190565697845,0.0,0.0,0.0072038113139569,0.3716941176470588,0.1544938812323494,0.2102,0.7902,17,0.5800000000000001,12.0,0.0,31.3,30.6,14.4,10.8,1.54,6.9
82,1,1,9.176258,76.859747,Kerala,Pathanamthitta,Konni,Soil,Slide,,,Thannimoodu slide,49.83015060424805,20.13631109427367,SLD00080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75778,0.0516059132824358,0.6765,0.8667,15,0.1902,8.0,0.0,30.4,36.3,23.3,25.3,1.11,5.2
3684,1,1,11.54,76.48,Tamil Nadu,Nilgiri,Gudalur,Debris,Slide,,,,949.0459594726562,17.17785135249727,SLD03666,2.129576973617077,0.0709858991205692,1.2895289659500122,0.2497367853818881,0.0,0.0,2.129576973617077,0.0,0.0,1.2895289659500122,0.7743,0.0618219520073574,0.58,0.8547,17,0.2747,8.0,0.0,22.1,44.1,22.7,19.0,1.21,5.5
3761,1,1,11.556978,76.198161,Kerala,Wayanad,Vythiri,Soil,Slide,2015.0,,Kadamad,830.5520629882812,23.29493447595943,SLD03743,4.681130286306143,0.1560376762102047,3.6268727779388414,0.6577708962503576,0.1926072333008045,0.2530530095100395,4.681130286306143,0.0304620098322629,0.0304620098322629,3.6268727779388414,0.80822,0.0322167037420031,0.7517,0.8571,15,0.1053999999999999,8.0,0.0,20.9,45.0,22.7,22.5,1.14,5.3
