ID,Land_Cover_Type,Land_Cover_QC
SLD00419,8.0,0.0
SLD00420,8.0,0.0
SLD00421,8.0,0.0
SLD00422,8.0,0.0
SLD00423,8.0,0.0
SLD00424,8.0,0.0
SLD00425,8.0,0.0
SLD00426,8.0,0.0
SLD00427,8.0,0.0
SLD00428,8.0,0.0
SLD00429,8.0,0.0
SLD00430,8.0,0.0
SLD00431,8.0,0.0
SLD00432,8.0,0.0
SLD00433,8.0,0.0
SLD00434,8.0,0.0
SLD00435,8.0,0.0
SLD00436,8.0,0.0
SLD00437,8.0,0.0
SLD00438,8.0,0.0
SLD00439,8.0,0.0
SLD00440,8.0,0.0
SLD00441,8.0,0.0
SLD00442,8.0,0.0
SLD00443,8.0,0.0
SLD00444,8.0,0.0
SLD00445,8.0,0.0
SLD00446,8.0,0.0
SLD00447,8.0,0.0
SLD00448,8.0,0.0
SLD00449,8.0,0.0
SLD00450,8.0,0.0
SLD00451,8.0,0.0
SLD00452,8.0,0.0
SLD00453,8.0,0.0
SLD00454,8.0,0.0
SLD00455,8.0,0.0
SLD00456,8.0,0.0
SLD00457,2.0,0.0
SLD00458,8.0,0.0
SLD00459,8.0,0.0
SLD00460,8.0,0.0
SLD00461,8.0,0.0
SLD00462,8.0,0.0
SLD00463,8.0,0.0
SLD00464,8.0,0.0
SLD00465,8.0,0.0
SLD00466,8.0,0.0
SLD00467,8.0,0.0
SLD00468,8.0,0.0
SLD00469,8.0,0.0
SLD00470,2.0,0.0
SLD00471,8.0,0.0
SLD00472,8.0,0.0
SLD00473,8.0,0.0
SLD00474,8.0,0.0
SLD00475,8.0,0.0
SLD00476,8.0,0.0
SLD00477,8.0,0.0
SLD00478,8.0,0.0
SLD00479,2.0,0.0
SLD00480,2.0,0.0
SLD00481,8.0,0.0
SLD00482,8.0,0.0
SLD00483,8.0,0.0
SLD00484,8.0,0.0
SLD00485,8.0,0.0
SLD00486,8.0,0.0
SLD00487,2.0,0.0
SLD00488,8.0,0.0
SLD00489,8.0,0.0
SLD00490,8.0,0.0
SLD00491,8.0,0.0
SLD00492,8.0,0.0
SLD00493,8.0,0.0
SLD00494,8.0,0.0
SLD00495,2.0,0.0
SLD00496,8.0,0.0
SLD00497,8.0,0.0
SLD00498,8.0,0.0
SLD00499,8.0,0.0
SLD00500,8.0,0.0
SLD00501,8.0,0.0
SLD00502,8.0,0.0
SLD00503,8.0,0.0
SLD00504,2.0,0.0
SLD00505,8.0,0.0
SLD00506,2.0,0.0
SLD00507,8.0,0.0
SLD00508,8.0,0.0
SLD00509,8.0,0.0
SLD00510,2.0,0.0
SLD00511,8.0,0.0
SLD00512,8.0,0.0
SLD00513,8.0,0.0
SLD00514,8.0,0.0
SLD00515,8.0,0.0
SLD00516,8.0,0.0
SLD00517,8.0,0.0
SLD00518,8.0,0.0
SLD00519,8.0,0.0
SLD00520,8.0,0.0
SLD00521,8.0,0.0
SLD00522,8.0,0.0
SLD00523,8.0,0.0
SLD00524,8.0,0.0
SLD00525,8.0,0.0
SLD00526,8.0,0.0
SLD00527,8.0,0.0
SLD00528,8.0,0.0
SLD00529,8.0,0.0
SLD00530,8.0,0.0
SLD00531,8.0,0.0
SLD00532,8.0,0.0
SLD00533,2.0,0.0
SLD00534,8.0,0.0
SLD00535,8.0,0.0
SLD00536,8.0,0.0
SLD00537,8.0,0.0
SLD00538,8.0,0.0
SLD00539,8.0,0.0
SLD00540,8.0,0.0
SLD00541,8.0,0.0
SLD00542,2.0,0.0
SLD00543,2.0,0.0
SLD00544,8.0,0.0
SLD00545,8.0,0.0
SLD00546,8.0,0.0
SLD00547,8.0,0.0
SLD00548,2.0,0.0
SLD00549,8.0,0.0
SLD00550,8.0,0.0
SLD00551,2.0,0.0
SLD00552,2.0,0.0
SLD00553,8.0,0.0
SLD00554,8.0,0.0
SLD00555,8.0,0.0
SLD00556,8.0,0.0
SLD00557,2.0,0.0
SLD00558,8.0,0.0
SLD00559,8.0,0.0
SLD00560,8.0,0.0
SLD00561,8.0,0.0
SLD00562,8.0,0.0
SLD00563,8.0,0.0
SLD00564,2.0,0.0
SLD00565,8.0,0.0
SLD00566,8.0,0.0
SLD00567,8.0,0.0
SLD00568,8.0,0.0
SLD00569,2.0,0.0
SLD00570,8.0,0.0
SLD00571,8.0,0.0
SLD00572,8.0,0.0
SLD00573,2.0,0.0
SLD00574,8.0,0.0
SLD00575,8.0,0.0
SLD00576,2.0,0.0
SLD00577,8.0,0.0
SLD00578,8.0,0.0
SLD00579,8.0,0.0
SLD00580,8.0,0.0
SLD00581,8.0,0.0
SLD00582,8.0,0.0
SLD00583,8.0,0.0
