ID,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range,Land_Cover_Type,Land_Cover_QC
SLD10140,0.7439230769230769,0.0461397903810827,0.6495,0.7915,13,0.142,8.0,0.0
SLD10141,0.5140055555555556,0.1214662503221378,0.3534,0.7834,18,0.43,12.0,0.0
SLD10142,0.62875,0.1081595673068267,0.3916,0.8148,16,0.4231999999999999,8.0,0.0
SLD10143,0.61838,0.0754835762647364,0.5048,0.7602,15,0.2553999999999999,9.0,0.0
SLD10144,0.7002933333333333,0.0806540537167995,0.5875,0.8277,15,0.2401999999999999,5.0,0.0
SLD10145,0.7038764705882352,0.1375972634603054,0.3659,0.8528,17,0.4869,4.0,0.0
SLD10146,0.6651473684210526,0.0908976369844493,0.4964,0.8057,19,0.3092999999999999,10.0,0.0
SLD10147,0.5398000000000001,0.1091077754638351,0.3931,0.7488,16,0.3557,12.0,0.0
SLD10148,0.6527866666666667,0.1046689807144864,0.4918,0.8138,15,0.3219999999999999,9.0,0.0
SLD10149,0.5472727272727272,0.0748070418242394,0.3979,0.6556,22,0.2577,12.0,0.0
SLD10150,0.4330285714285714,0.1408240858051532,0.2366,0.6783,21,0.4417,12.0,0.0
SLD10151,0.53453,0.1497685516142543,0.3094,0.7621,20,0.4527,12.0,0.0
SLD10152,0.5585,0.1229786160273403,0.4339,0.808,17,0.3741,12.0,0.0
SLD10153,0.78978,0.0695820878342151,0.6261,0.872,20,0.2459,2.0,0.0
SLD10154,0.57823,0.1275875142381639,0.2374,0.775,20,0.5376000000000001,12.0,0.0
SLD10155,0.7743866666666667,0.0962937682797999,0.6371,0.9023,15,0.2652,8.0,0.0
SLD10156,0.80640625,0.0268805870161596,0.7473,0.8542,16,0.1069,2.0,0.0
SLD10157,0.8349705882352941,0.0349074806579099,0.7776,0.8858,17,0.1082,2.0,0.0
SLD10158,0.4436266666666666,0.1897398349118628,0.0936,0.901,15,0.8074,11.0,0.0
SLD10159,0.5056222222222222,0.0841066238949497,0.4076,0.7277,18,0.3201,10.0,0.0
SLD10160,0.7141928571428571,0.0618742330399796,0.5251,0.7627,14,0.2376,14.0,0.0
SLD10161,0.7431166666666666,0.0799075292778729,0.6042,0.8773,18,0.2731,8.0,0.0
SLD10162,0.7422647058823529,0.0394162393750416,0.6418,0.8038,17,0.1619999999999999,14.0,0.0
SLD10163,0.5203315789473685,0.130977975470991,0.3427,0.7772,19,0.4345,12.0,0.0
SLD10164,0.7604933333333332,0.0566330603429615,0.6937,0.834,15,0.1402999999999999,2.0,0.0
SLD10165,0.4569647058823529,0.1787249141179555,0.2475,0.7252,17,0.4776999999999999,12.0,0.0
SLD10166,0.53311875,0.1675492772042502,0.3479,0.872,16,0.5241,12.0,0.0
SLD10167,0.6536285714285714,0.0668329309497994,0.5454,0.7382,14,0.1927999999999999,14.0,0.0
SLD10168,,,,,0,,17.0,4.0
SLD10169,0.6435150000000001,0.0638706940046182,0.5658,0.7825,20,0.2167,12.0,0.0
SLD10170,0.7941052631578946,0.0586199006186296,0.6305,0.9566,19,0.3261,2.0,0.0
SLD10171,0.4953904761904762,0.1340456709661371,0.2704,0.7693,21,0.4989,12.0,0.0
SLD10172,0.8400599999999999,0.0357387105051571,0.7696,0.8923,15,0.1227,2.0,0.0
SLD10173,0.5505,0.1089620059929147,0.4201,0.7808,17,0.3607000000000001,12.0,0.0
SLD10174,0.5099705882352941,0.0950300529089737,0.4005,0.7008,17,0.3002999999999999,12.0,0.0
SLD10175,0.64010625,0.1244879671226634,0.324,0.8194,16,0.4954,9.0,0.0
SLD10176,0.6265285714285714,0.0934258029633177,0.4719,0.7751,14,0.3032,9.0,0.0
SLD10177,0.7464375,0.1037958115725292,0.5226,0.922,16,0.3994000000000001,5.0,0.0
SLD10178,0.5988294117647058,0.1029430046476318,0.4669,0.7934,17,0.3265,14.0,0.0
SLD10179,0.7275214285714285,0.0572668138369245,0.6366,0.8071,14,0.1704999999999999,14.0,0.0
SLD10180,0.8003600000000001,0.0652348905676128,0.6883,0.8724,20,0.1840999999999999,2.0,0.0
SLD10181,0.5268444444444444,0.1179762499639463,0.3444,0.784,18,0.4396,12.0,0.0
SLD10182,0.8291733333333333,0.0842980127427743,0.6841,0.9433,15,0.2592,2.0,0.0
SLD10183,0.7441684210526316,0.0936224453894564,0.5479,0.8617,19,0.3137999999999999,5.0,0.0
SLD10184,0.4253222222222222,0.1149842114765713,0.2496,0.6638,18,0.4141999999999999,10.0,0.0
SLD10185,0.4866,0.0936292095923536,0.3382,0.6265,19,0.2882999999999999,12.0,0.0
SLD10186,0.8050631578947369,0.0531061851443388,0.6739,0.8805,19,0.2065999999999999,8.0,0.0
SLD10187,0.76362,0.0569489144509608,0.6648,0.8319,15,0.1671,2.0,0.0
SLD10188,0.8026266666666667,0.032052734821288,0.7302,0.8454,15,0.1152,2.0,0.0
SLD10189,0.4122611111111111,0.190119424198361,0.2173,0.8625,18,0.6452,12.0,0.0
SLD10190,0.642915,0.0955976727034491,0.4367,0.8022,20,0.3655,12.0,0.0
SLD10191,0.3963157894736842,0.1380179306513706,0.2604,0.7379,19,0.4775,12.0,0.0
SLD10192,0.6861125,0.0936393640516636,0.5419,0.8066,16,0.2646999999999999,9.0,0.0
SLD10193,0.7214176470588235,0.1095849284533125,0.504,0.859,17,0.355,4.0,0.0
SLD10194,0.3745,0.0791547408561231,0.2783,0.5602,21,0.2819,13.0,9.0
SLD10195,0.8174300000000001,0.0374939120984253,0.765,0.8738,10,0.1088,8.0,0.0
SLD10196,0.5177375,0.131017041512418,0.3736,0.7985,16,0.4249,12.0,0.0
SLD10197,0.5194647058823529,0.112512998922216,0.3585,0.7752,17,0.4167,12.0,0.0
SLD10198,0.7513352941176471,0.1056994438323617,0.5013,0.8833,17,0.382,4.0,0.0
SLD10199,0.5475882352941176,0.1187377250621771,0.2722,0.7443,17,0.4720999999999999,12.0,0.0
SLD10200,0.4518705882352941,0.0709135985258282,0.3195,0.5684,17,0.2489,13.0,9.0
SLD10201,0.4134111111111111,0.1410120849593223,0.2415,0.6823,18,0.4408,12.0,0.0
SLD10202,0.4882105263157895,0.1044224959518719,0.3122,0.6901,19,0.3779,12.0,0.0
SLD10203,0.5343222222222221,0.1253031550025567,0.3908,0.7684,18,0.3776,9.0,0.0
SLD10204,0.74122,0.1131851971643945,0.471,0.9226,15,0.4516,8.0,0.0
SLD10205,0.5643882352941176,0.125174337837039,0.4038,0.8057,17,0.4019,12.0,0.0
SLD10206,0.4642315789473684,0.1367653588881807,0.3262,0.7849,19,0.4587,12.0,0.0
SLD10207,0.70213125,0.1149084082722698,0.4933,0.8155,16,0.3222,8.0,0.0
SLD10208,0.4719529411764705,0.1187843114517183,0.3349,0.7189,17,0.384,12.0,0.0
SLD10209,0.5560277777777778,0.1267684865532697,0.3484,0.773,18,0.4246,12.0,0.0
SLD10210,0.5579294117647059,0.0988322553920649,0.4095,0.7264,17,0.3169,12.0,0.0
SLD10211,0.7799571428571429,0.0552458828459512,0.6615,0.8475,21,0.186,2.0,0.0
SLD10212,0.5263933333333334,0.0994184480341742,0.4004,0.7285,15,0.3281,12.0,0.0
SLD10213,0.4927294117647059,0.1207594187046391,0.3585,0.7772,17,0.4187,12.0,0.0
SLD10214,0.631664705882353,0.114268127342976,0.3852,0.7931,17,0.4079,8.0,0.0
SLD10215,0.5698399999999999,0.1165728576593073,0.4303,0.8002,15,0.3699,12.0,0.0
SLD10216,0.7100833333333333,0.1079568554889351,0.519,0.9605,18,0.4415,9.0,0.0
SLD10217,0.5308181818181817,0.0942366506214345,0.3507,0.7211,22,0.3703999999999999,12.0,0.0
SLD10218,0.5271625,0.0841045054282666,0.3946,0.7306,16,0.336,12.0,0.0
SLD10219,0.6130166666666667,0.124629329236269,0.4213,0.9285,18,0.5072,9.0,0.0
SLD10220,0.6796833333333333,0.1401670400545258,0.1557,0.7952,18,0.6395,9.0,0.0
SLD10221,0.6239055555555555,0.1079941799751113,0.3519,0.7606,18,0.4087,12.0,0.0
SLD10222,0.53852,0.1167785339863452,0.4095,0.7626,15,0.3530999999999999,12.0,0.0
SLD10223,0.4787368421052632,0.1108933732642222,0.3541,0.7611,19,0.407,12.0,0.0
SLD10224,0.6311222222222223,0.0970379825911456,0.4677,0.8419,18,0.3742,12.0,0.0
SLD10225,0.7095333333333333,0.1184057591906905,0.4361,0.8399,15,0.4038,4.0,0.0
SLD10226,0.52495,0.0938439886754943,0.3795,0.679,20,0.2995,12.0,0.0
SLD10227,0.5951214285714286,0.0600768249003714,0.4835,0.6935,14,0.21,14.0,0.0
SLD10228,0.8175615384615385,0.028201020621647,0.7739,0.868,13,0.0940999999999999,8.0,0.0
SLD10229,0.73075,0.1204158692986409,0.4631,0.8724,20,0.4092999999999999,4.0,0.0
SLD10230,0.4892888888888889,0.1320039789457739,0.3136,0.771,18,0.4574,12.0,0.0
SLD10231,0.5951055555555556,0.1526978657434817,0.4145,0.8423,18,0.4278,12.0,0.0
SLD10232,0.5790117647058823,0.0888167768664297,0.4426,0.7403,17,0.2976999999999999,12.0,0.0
SLD10233,0.7469066666666666,0.0547738528166583,0.6547,0.8237,15,0.169,8.0,0.0
SLD10234,0.2994166666666666,0.0947761092383146,0.1463,0.5399,18,0.3936,9.0,0.0
SLD10235,0.4825842105263158,0.1398866774021739,0.2972,0.8067,19,0.5095,12.0,0.0
SLD10236,0.689675,0.0774580875915054,0.5941,0.8339,16,0.2398,9.0,0.0
SLD10237,0.8269647058823529,0.0584003418352203,0.6276,0.8714,17,0.2437999999999999,2.0,0.0
SLD10238,0.8085058823529412,0.0508347994806243,0.6479,0.8823,17,0.2343999999999999,8.0,0.0
SLD10239,0.3872473684210526,0.1233035611291681,0.2452,0.6547,19,0.4095,12.0,0.0
SLD10240,0.82208,0.0521956101055032,0.6947,0.8924,15,0.1977,8.0,0.0
SLD10241,0.4531315789473684,0.1618973167461111,0.2842,0.8204,19,0.5362,12.0,0.0
SLD10242,0.6299600000000001,0.1061866739016046,0.4533,0.8153,15,0.362,12.0,0.0
SLD10243,0.7676125,0.0865331294938533,0.5191,0.8902,16,0.3711,9.0,0.0
SLD10244,0.70680625,0.1135934063153902,0.5169,0.8688,16,0.3519,8.0,0.0
SLD10245,0.471525,0.0959913476089875,0.3074,0.661,20,0.3536,12.0,0.0
SLD10246,0.80666875,0.0731277851321461,0.6596,0.9203,16,0.2607,2.0,0.0
SLD10247,0.4956095238095238,0.0696479712896356,0.3696,0.6301,21,0.2605,12.0,0.0
SLD10248,0.4919238095238095,0.0835783100137942,0.3205,0.6162,21,0.2956999999999999,12.0,0.0
SLD10249,0.6759799999999999,0.1052467590271276,0.4869,0.843,15,0.3560999999999999,9.0,0.0
SLD10250,0.5030823529411765,0.1026313989192276,0.3249,0.6771,17,0.3522,12.0,0.0
SLD10251,0.8275285714285714,0.0314804806084764,0.7782,0.8708,14,0.0926,2.0,0.0
SLD10252,0.5660294117647059,0.0738561588893056,0.4506,0.7001,17,0.2494999999999999,12.0,0.0
SLD10253,0.745629411764706,0.0895831789784351,0.5734,0.8496,17,0.2762,4.0,0.0
SLD10254,0.4132176470588235,0.0621548292099467,0.3218,0.5385,17,0.2167,12.0,0.0
