S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name,Elevation_m,Slope_deg
1392,1,Landslide,10.03,76.98,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aanachal,1117.57861328125,20.266327399034033
1393,1,Landslide,10.03,77.0,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aaram mile,817.2852172851562,0.0
1394,1,Landslide,10.03,77.06,Kerala,Idukki,Devikulam,Debris,Flow,,,Mankulam,1024.10693359375,29.29000597445683
1395,1,Landslide,10.03,77.06,Kerala,Idukki,Devikulam,Debris,Slide,,,Perumbamkoottu,1024.10693359375,29.29000597445683
1396,1,Landslide,10.03,77.06,Kerala,Idukki,Devikulam,Debris,Slide,,,Aaram mile,1024.10693359375,29.29000597445683
1397,1,Landslide,10.03,76.94,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Chikkanad kudi,913.1503295898438,26.660657114556813
1398,1,Landslide,10.03,76.95,Kerala,Idukki,Devikulam,Debris,Slide,,,Parakudi,858.5357055664062,12.988574017390029
1399,1,Landslide,10.03,76.97,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aaram mile,1045.3463134765625,15.027534075430829
1400,1,Landslide,10.03,76.97,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aaram mile,1045.3463134765625,15.027534075430829
1401,1,Landslide,10.03,76.93,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Near Pallivasal,795.3111572265625,14.879303323712506
1402,1,Landslide,10.03,77.12,Kerala,Idukki,Udumbanchola,Debris,Slide,,,Mankulam,1533.8472900390625,26.65509142126568
1403,1,Landslide,10.03,76.92,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aaram mile,880.9323120117188,19.731268875835788
1404,1,Landslide,10.03,77.12,Kerala,Idukki,Udumbanchola,Debris,Slide,,,Aanakkulam,1533.8472900390625,26.65509142126568
1405,1,Landslide,10.03,76.9,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Mankulam,592.127197265625,25.920489502159075
1406,1,Landslide,10.03,76.88,Kerala,Idukki,Devikulam,Rock,Slide,2019.0,,Perumbamkoottu,589.2657470703125,11.946070462466924
1407,1,Landslide,10.03,76.86,Kerala,Idukki,Devikulam,Debris,Slide,2019.0,,Seval kudi,557.22021484375,7.87409949045745
1408,1,Landslide,10.03,77.12,Kerala,Idukki,Udumbanchola,Debris,Slide,,,Aaram mile,1533.8472900390625,26.65509142126568
1409,1,Landslide,10.03,77.12,Kerala,Idukki,Udumbanchola,Debris,Flow,,,Parakudi,1533.8472900390625,26.65509142126568
1410,1,Landslide,10.03,77.07,Kerala,Idukki,Udumbanchola,Debris,Slide,,,Aanakkulam,1155.7520751953125,35.09675274069826
1411,1,Landslide,10.03,77.21,Kerala,Idukki,Udumbanchola,Debris,Slide,,,Chithirapuram,1245.9283447265625,9.834544215181737
1412,1,Landslide,10.030003,77.267081,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,1154.0660400390625,32.92967586176997
1413,1,Landslide,10.030008,77.266225,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,1203.5445556640625,24.12052214710365
1414,1,Landslide,10.030213,76.900791,Kerala,Idukki,Devikulam,Debris,Flow,,,Pathinalam Mile IV,584.85888671875,26.574815012031628
1415,1,Landslide,10.030556,76.9338,Kerala,Idukki,Devikulam,Debris,Flow,,,Chattuparakudi,866.1658935546875,37.163813627167556
1416,1,Landslide,10.030575,77.034915,Kerala,Idukki,Devikulam,Debris,Slide,,,"Anachal, Shankupadi",909.7393798828125,21.569495494720957
1417,1,Landslide,10.030575,77.034915,Kerala,Idukki,Devikulam,Debris,Slide,,,"Anachal, Shankupadi",909.7393798828125,21.569495494720957
1418,1,Landslide,10.030773,76.88974,Kerala,Idukki,Devikulam,Debris,Slide,,,Vannapuram,583.9534912109375,22.20558099442879
1419,1,Landslide,10.030794,77.034469,Kerala,Idukki,Devikulam,Debris,Flow,,,"Anachal, Shankupadi",904.3966674804688,25.35394955171011
1420,1,Landslide,10.030794,77.034469,Kerala,Idukki,Devikulam,Debris,Flow,,,"Anachal, Shankupadi",904.3966674804688,25.35394955171011
1421,1,Landslide,10.030843,76.94035,Kerala,Idukki,Devikulam,Debris,Slide,,,Korangatti,864.7698364257812,28.00623808123441
1422,1,Landslide,10.0309,76.900786,Kerala,Idukki,Devikulam,Debris,Flow,,,Pathinalam Mile II,605.5596923828125,26.47375936498276
1423,1,Landslide,10.031173,76.933329,Kerala,Idukki,Devikulam,Debris,Slide,,,Chattuparakudi,881.0529174804688,27.67696296748253
1424,1,Landslide,10.031347,76.900022,Kerala,Idukki,Devikulam,Debris,Flow,,,Pathinalam Mile III,616.918212890625,23.619719576954445
1425,1,Landslide,10.031718,76.912574,Kerala,Idukki,Devikulam,Debris,Flow,,,Machiplavu,746.0079345703125,24.93666723724681
1426,1,Landslide,10.031732,76.933624,Kerala,Idukki,Devikulam,Debris,Slide,,,Korangatti,895.9368286132812,24.28915058728624
1427,1,Landslide,10.03203,76.933708,Kerala,Idukki,Devikulam,Debris,Slide,,,Korangatti,886.6193237304688,27.165374061177307
1428,1,Landslide,10.032249,76.942529,Kerala,Idukki,Devikulam,Debris,Slide,,,Korangatti,851.280029296875,18.201806792778452
1429,1,Landslide,10.032275,76.942702,Kerala,Idukki,Devikulam,Debris,Slide,,,Korangatti,853.9697265625,18.42883899756345
1430,1,Landslide,10.032608,76.935362,Kerala,Idukki,Devikulam,Debris,Slide,,,Korangatti,908.02685546875,20.523097908734417
1431,1,Landslide,10.033208,77.266333,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,1099.169677734375,42.54885051026137
1432,1,Landslide,10.033387,76.948911,Kerala,Idukki,Devikulam,Debris,Slide,,,Noorankara,896.2349853515625,25.251390912577683
1433,1,Landslide,10.033634,76.936135,Kerala,Idukki,Devikulam,Debris,Slide,,,Korangatti,897.3466186523438,9.61077931976038
1434,1,Landslide,10.033883,77.265406,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,1116.164794921875,36.621334138093715
1435,1,Landslide,10.034431,77.278042,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,829.3861694335938,26.673406407600478
1436,1,Landslide,10.034806,76.80675,Kerala,Ernakulam,Kothamangalam,Debris,Flow,,,Chempankuzhi slide3,103.33438873291016,15.92885669695288
1437,1,Landslide,10.03499,76.99247,Kerala,Idukki,Devikulam,Debris,Slide,,,"Unnikuzhy, Pallivasal village",869.0435791015625,37.440384795087404
1438,1,Landslide,10.03499,76.99247,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,"Unnikuzhy, Pallivasal village",869.0435791015625,37.440384795087404
1439,1,Landslide,10.035131,77.279533,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,842.4974365234375,30.867668781836322
1440,1,Landslide,10.03529,76.948184,Kerala,Idukki,Devikulam,Debris,Slide,,,Noorankara,966.9514770507812,13.163484525714246
1441,1,Landslide,10.036551,76.941205,Kerala,Idukki,Devikulam,Debris,Flow,,,Noorankara - Muthuvankudi,931.8177490234375,28.853628246966863
1442,1,Landslide,10.036719,77.266644,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,1055.9537353515625,41.873031755246814
1443,1,Landslide,10.036908,77.276147,Tamil Nadu,Teni,Bodinayakanur,Rock,Slide,,,,1010.1846923828125,38.44916791820802
1444,1,Landslide,10.0372,77.0068,Kerala,Idukki,Devikulam,Rock,Flow,,,KallarVattiyar,996.8648071289062,16.925177881841037
1445,1,Landslide,10.037483,77.2708,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,1043.05810546875,36.89258178860156
1446,1,Landslide,10.037706,77.279914,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,978.3512573242188,36.69556036912388
1447,1,Landslide,10.037978,77.273086,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,1030.9195556640625,40.83861608680032
1448,1,Landslide,10.038717,77.005599,Kerala,Idukki,Devikulam,Debris,Flow,,,Vattayar,1004.5538330078125,15.676255880379601
1449,1,Landslide,10.038717,77.005599,Kerala,Idukki,Devikulam,Debris,Flow,,,Vattayar,1004.5538330078125,15.676255880379601
1450,1,Landslide,10.03885,77.001514,Kerala,Idukki,Devikulam,Debris,Slide,,,Vattayar,972.1847534179688,14.95564878878955
1451,1,Landslide,10.03885,77.001514,Kerala,Idukki,Devikulam,Debris,Slide,,,Vattayar,972.1847534179688,14.95564878878955
1452,1,Landslide,10.04,77.04,Kerala,Idukki,Devikulam,Debris,Slide,2019.0,,Aanakkulam,1115.9959716796875,12.18540727626208
1453,1,Landslide,10.04,77.04,Kerala,Idukki,Devikulam,Debris,Flow,,,Near Pallivasal,1115.9959716796875,12.18540727626208
1454,1,Landslide,10.04,77.03,Kerala,Idukki,Devikulam,Debris,Flow,2019.0,,Chithirapuram,1177.2279052734375,17.55611418467917
1455,1,Landslide,10.04,77.03,Kerala,Idukki,Devikulam,Debris,Slide,2019.0,,Thalumkandam,1177.2279052734375,17.55611418467917
1456,1,Landslide,10.04,77.03,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Mankulam,1177.2279052734375,17.55611418467917
1457,1,Landslide,10.04,77.02,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Mankulam,1148.4549560546875,32.27089031261284
1458,1,Landslide,10.04,77.02,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Perumbamkoottu,1148.4549560546875,32.27089031261284
1459,1,Landslide,10.04,77.01,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Seval kudi,1131.446044921875,29.618730027221712
1460,1,Landslide,10.04,76.95,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aanachal,1017.6378173828125,18.879313512251272
1461,1,Landslide,10.04,76.95,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aaram mile,1017.6378173828125,18.879313512251272
1462,1,Landslide,10.04,76.95,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Seval kudi,1017.6378173828125,18.879313512251272
1463,1,Landslide,10.04,76.99,Kerala,Idukki,Devikulam,Debris,Flow,2018.0,,Perumbamkoottu,1047.22216796875,29.746615124269283
1464,1,Landslide,10.04,76.99,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Seval kudi,1047.22216796875,29.746615124269283
1465,1,Landslide,10.04,77.04,Kerala,Idukki,Devikulam,Debris,Slide,,,Aanachal,1115.9959716796875,12.18540727626208
1466,1,Landslide,10.04,76.85,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aaram mile,606.067138671875,25.634889940054432
1467,1,Landslide,10.04,76.85,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Chikkanad kudi,606.067138671875,25.634889940054432
1468,1,Landslide,10.04,77.11,Kerala,Idukki,Devikulam,Debris,Slide,2019.0,,Aaram mile,1773.2252197265625,29.074905089999262
1469,1,Landslide,10.04,77.12,Kerala,Idukki,Devikulam,Debris,Slide,2019.0,,Chikkanad kudi,1602.994873046875,15.736708139918425
1470,1,Landslide,10.04,77.17,Kerala,Idukki,Udumbanchola,Debris,Slide,,,Aanakkulam,1495.546142578125,14.213764963333858
1471,1,Landslide,10.04,77.14,Kerala,Idukki,Udumbanchola,Debris,Slide,,,Aanakkulam,1843.230712890625,17.5381482100485
