S.No,Latitude,Longitude,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
140,9.53,77.4,28.8,30.1,25.5,59.0,0.96,5.3
141,9.530667,76.965462,24.2,32.0,28.2,34.1,1.08,5.1
142,9.531556,76.960131,26.2,31.1,27.4,32.8,1.1,5.2
143,9.536662,76.981105,23.2,32.2,29.8,32.0,1.12,5.1
144,9.54,77.37,29.5,34.0,22.3,46.9,1.04,5.3
145,9.55,77.38,30.7,31.9,20.7,35.4,1.1,5.4
146,9.556714,76.972888,21.5,33.5,30.0,35.4,1.07,5.1
147,9.557969,76.97305,21.5,33.5,30.0,35.4,1.07,5.1
148,9.558774,76.995185,29.0,31.3,25.9,39.0,1.1,5.1
149,9.565965,76.943333,26.6,36.9,25.7,32.0,1.14,5.2
150,9.567761,76.950283,27.1,37.6,24.0,32.0,1.12,5.1
151,9.57,77.4,27.4,39.6,21.4,32.5,1.18,5.6
152,9.572091,76.998014,27.8,37.2,23.9,26.1,1.1,5.2
153,9.57226,76.942849,27.5,36.3,23.8,32.7,1.12,5.1
154,9.5725,77.09172,31.2,37.5,21.5,26.4,1.22,5.5
155,9.572847,76.949283,26.6,37.6,23.8,31.0,1.14,5.2
156,9.576489,76.941443,27.6,36.5,23.6,32.5,1.12,5.1
157,9.59,77.41,28.5,36.5,21.9,31.1,1.2,5.6
158,9.608653,77.146307,31.0,36.0,23.6,28.5,1.08,5.3
159,9.608653,77.146307,31.0,36.0,23.6,28.5,1.08,5.3
160,9.608653,77.146307,31.0,36.0,23.6,28.5,1.08,5.3
161,9.608653,77.146307,31.0,36.0,23.6,28.5,1.08,5.3
162,9.608653,77.146307,31.0,36.0,23.6,28.5,1.08,5.3
163,9.608653,77.146307,31.0,36.0,23.6,28.5,1.08,5.3
164,9.609313,77.069258,30.4,36.3,22.7,33.6,1.11,5.3
165,9.61,77.3,30.6,32.5,22.4,39.3,1.08,5.3
166,9.61,77.31,33.2,32.0,20.2,46.8,1.02,5.3
167,9.61,77.42,28.6,40.9,18.2,33.0,1.17,5.5
168,9.611343,77.148419,29.2,33.4,23.6,31.0,1.09,5.3
169,9.616867,77.143727,28.7,30.5,26.6,26.2,1.08,5.2
170,9.618522,76.91768,22.6,35.7,29.2,34.7,1.04,5.1
171,9.62,77.34,31.6,31.9,22.0,52.3,1.06,5.3
172,9.62,77.33,27.6,31.1,24.1,55.2,1.01,5.1
173,9.62,77.31,26.1,32.3,27.0,56.6,1.0,5.1
174,9.62,77.3,29.1,33.4,24.0,46.2,1.02,5.2
175,9.62,77.28,25.6,35.6,24.0,30.2,1.17,5.4
176,9.621675,77.161217,33.0,33.6,22.3,30.0,1.1,5.3
177,9.627685,77.138111,28.5,30.5,27.6,33.5,1.06,5.2
178,9.629002,77.137118,33.4,30.1,26.4,32.6,1.03,5.2
179,9.629116,77.153759,28.9,36.3,25.8,30.4,1.08,5.3
180,9.629298,77.163697,33.2,33.7,23.9,29.9,1.1,5.4
181,9.629553,77.1546,28.9,36.3,25.8,30.4,1.08,5.3
182,9.6306,76.889,23.7,34.4,27.6,29.6,1.16,5.1
183,9.630856,76.87125,22.4,35.5,29.7,35.7,1.1,5.0
184,9.63221,77.156202,28.9,33.4,25.8,37.0,1.06,5.4
185,9.632692,77.162881,29.5,32.9,24.9,35.3,1.06,5.3
186,9.633309,77.156819,33.3,32.8,23.3,37.9,1.04,5.3
