S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name
35894,0,Background,10.594882,76.014263,Western Ghats Region,Background / Unspecified,,,,,,
35895,0,Background,13.642725,75.819093,Western Ghats Region,Background / Unspecified,,,,,,
35896,0,Background,16.137828,74.680484,Western Ghats Region,Background / Unspecified,,,,,,
35897,0,Background,17.30382,73.671632,Western Ghats Region,Background / Unspecified,,,,,,
35898,0,Background,9.20852,76.785971,Western Ghats Region,Background / Unspecified,,,,,,
35899,0,Background,15.490209,74.784951,Western Ghats Region,Background / Unspecified,,,,,,
35900,0,Background,18.813444,73.699937,Western Ghats Region,Background / Unspecified,,,,,,
35901,0,Background,12.540582,75.426792,Western Ghats Region,Background / Unspecified,,,,,,
35902,0,Background,10.798162,76.152806,Western Ghats Region,Background / Unspecified,,,,,,
35903,0,Background,13.838277,75.649814,Western Ghats Region,Background / Unspecified,,,,,,
35904,0,Background,18.169376,73.093331,Western Ghats Region,Background / Unspecified,,,,,,
35905,0,Background,10.692833,77.367818,Western Ghats Region,Background / Unspecified,,,,,,
35906,0,Background,10.935846,76.270669,Western Ghats Region,Background / Unspecified,,,,,,
35907,0,Background,15.393685,74.34899,Western Ghats Region,Background / Unspecified,,,,,,
35908,0,Background,19.367711,73.95137,Western Ghats Region,Background / Unspecified,,,,,,
35909,0,Background,15.804526,74.468683,Western Ghats Region,Background / Unspecified,,,,,,
35910,0,Background,10.734868,77.213397,Western Ghats Region,Background / Unspecified,,,,,,
35911,0,Background,9.383386,77.415045,Western Ghats Region,Background / Unspecified,,,,,,
35912,0,Background,9.38527,77.521503,Western Ghats Region,Background / Unspecified,,,,,,
35913,0,Background,10.178548,77.481028,Western Ghats Region,Background / Unspecified,,,,,,
35914,0,Background,15.791834,74.663036,Western Ghats Region,Background / Unspecified,,,,,,
35915,0,Background,18.824666,73.638723,Western Ghats Region,Background / Unspecified,,,,,,
35916,0,Background,9.390882,76.885734,Western Ghats Region,Background / Unspecified,,,,,,
35917,0,Background,13.139595,75.668734,Western Ghats Region,Background / Unspecified,,,,,,
35918,0,Background,15.395683,74.724091,Western Ghats Region,Background / Unspecified,,,,,,
35919,0,Background,9.983389,77.478693,Western Ghats Region,Background / Unspecified,,,,,,
35920,0,Background,11.195449,75.903381,Western Ghats Region,Background / Unspecified,,,,,,
35921,0,Background,10.377152,77.884703,Western Ghats Region,Background / Unspecified,,,,,,
35922,0,Background,11.775371,76.823688,Western Ghats Region,Background / Unspecified,,,,,,
35923,0,Background,8.671437,76.770846,Western Ghats Region,Background / Unspecified,,,,,,
35924,0,Background,9.602328,76.636262,Western Ghats Region,Background / Unspecified,,,,,,
35925,0,Background,10.907064,76.25337,Western Ghats Region,Background / Unspecified,,,,,,
35926,0,Background,13.736431,74.889561,Western Ghats Region,Background / Unspecified,,,,,,
