ID,Category,Latitude,Longitude
SLD_00271,Landslide,9.767222,76.855
SLD_00272,Landslide,9.767408,76.880724
SLD_00273,Landslide,9.768135,77.108294
SLD_00274,Landslide,9.768333,76.854722
SLD_00275,Landslide,9.768435,77.128288
SLD_00276,Landslide,9.769483,77.089057
SLD_00277,Landslide,9.769485,76.861242
SLD_00278,Landslide,9.770459,76.835165
SLD_00279,Landslide,9.770979,77.133498
SLD_00280,Landslide,9.7726,76.8275
SLD_00281,Landslide,9.774871,77.099124
SLD_00282,Landslide,9.775862,77.083611
SLD_00283,Landslide,9.777421,76.856547
SLD_00284,Landslide,9.7792,76.8503
SLD_00285,Landslide,9.7796,76.8499
SLD_00286,Landslide,9.7831,76.7858
SLD_00287,Landslide,9.786024,77.124144
SLD_00288,Landslide,9.788433,77.211174
SLD_00289,Landslide,9.789482,77.09414
SLD_00290,Landslide,9.789688,77.091498
SLD_00291,Landslide,9.789943,77.085321
SLD_00292,Landslide,9.790765,77.066116
SLD_00293,Landslide,9.792432,76.82916
SLD_00294,Landslide,9.792627,77.067686
SLD_00295,Landslide,9.793412,77.064957
SLD_00296,Landslide,9.794404,77.060807
SLD_00297,Landslide,9.794839,77.081397
SLD_00298,Landslide,9.795973,77.104232
SLD_00299,Landslide,9.796795,77.067566
SLD_00300,Landslide,9.796861,76.820806
SLD_00301,Landslide,9.796923,77.192568
SLD_00302,Landslide,9.797631,77.075655
SLD_00303,Landslide,9.798944,77.108953
SLD_00304,Landslide,9.799008,77.139263
SLD_00305,Landslide,9.799312,77.135392
SLD_00306,Landslide,9.801304,77.137756
SLD_00307,Landslide,9.801902,77.137459
SLD_00308,Landslide,9.8027,76.8477
SLD_00309,Landslide,9.803466,77.120209
SLD_00310,Landslide,9.805075,77.120256
SLD_00311,Landslide,9.805416,77.079731
SLD_00312,Landslide,9.805846,77.151282
SLD_00313,Landslide,9.806066,77.123588
SLD_00314,Landslide,9.806708,77.08415
SLD_00315,Landslide,9.80704,77.068331
SLD_00316,Landslide,9.807055,77.150241
SLD_00317,Landslide,9.809431,77.100034
SLD_00318,Landslide,9.809479,77.131411
SLD_00319,Landslide,9.81,76.88
SLD_00320,Landslide,9.810211,77.064195
SLD_00321,Landslide,9.810385,77.106483
SLD_00322,Landslide,9.810415,77.063431
SLD_00323,Landslide,9.810482,77.101006
SLD_00324,Landslide,9.810797,77.099842
SLD_00325,Landslide,9.810814,77.099897
SLD_00326,Landslide,9.810828,77.106376
SLD_00327,Landslide,9.810926,77.099432
SLD_00328,Landslide,9.810955,77.059324
SLD_00329,Landslide,9.811021,77.078098
SLD_00330,Landslide,9.811061,77.131266
SLD_00331,Landslide,9.811184,77.09855
SLD_00332,Landslide,9.811206,77.098031
SLD_00333,Landslide,9.811227,77.111993
SLD_00334,Landslide,9.8116,76.8508
SLD_00335,Landslide,9.811719,77.076298
SLD_00336,Landslide,9.811895,77.077038
SLD_00337,Landslide,9.81228,77.077614
SLD_00338,Landslide,9.812449,76.853725
SLD_00339,Landslide,9.812467,77.07664
SLD_00340,Landslide,9.812482,77.110779
SLD_00341,Landslide,9.812495,76.85358
SLD_00342,Landslide,9.813075,76.876351
SLD_00343,Landslide,9.813178,77.056494
SLD_00344,Landslide,9.813493,76.875962
SLD_00345,Landslide,9.814796,76.875696
SLD_00346,Landslide,9.816192,76.838889
SLD_00347,Landslide,9.817655,77.079726
SLD_00348,Landslide,9.818091,77.127319
SLD_00349,Landslide,9.818911,77.129202
SLD_00350,Landslide,9.820333,77.082221
SLD_00351,Landslide,9.820459,77.127344
SLD_00352,Landslide,9.820806,76.871099
SLD_00353,Landslide,9.822065,77.143594
SLD_00354,Landslide,9.8222,76.8433
SLD_00355,Landslide,9.822208,77.143896
SLD_00356,Landslide,9.823,76.8397
SLD_00357,Landslide,9.826742,77.141574
SLD_00358,Landslide,9.826816,77.141255
SLD_00359,Landslide,9.828145,76.866473
SLD_00360,Landslide,9.82866,76.866659
SLD_00361,Landslide,9.828943,77.160772
SLD_00362,Landslide,9.829444,76.749722
SLD_00363,Landslide,9.837212,77.173549
SLD_00364,Landslide,9.83811,77.18514
SLD_00365,Landslide,9.838144,77.18461
SLD_00366,Landslide,9.838783,76.888009
SLD_00367,Landslide,9.83882,77.153524
SLD_00368,Landslide,9.839776,76.865554
SLD_00369,Landslide,9.839808,76.864707
SLD_00370,Landslide,9.840509,76.929767
SLD_00371,Landslide,9.840509,76.929767
SLD_00372,Landslide,9.840603,76.885914
SLD_00373,Landslide,9.840603,76.879387
SLD_00374,Landslide,9.840678,76.832971
SLD_00375,Landslide,9.840886,76.879006
SLD_00376,Landslide,9.841301,77.1688
SLD_00377,Landslide,9.841969,76.885748
SLD_00378,Landslide,9.842312,77.160549
SLD_00379,Landslide,9.842521,76.965072
SLD_00380,Landslide,9.842521,76.965072
SLD_00381,Landslide,9.842529,77.160514
SLD_00382,Landslide,9.842744,76.89423
SLD_00383,Landslide,9.843841,76.888867
SLD_00384,Landslide,9.844834,76.943246
SLD_00385,Landslide,9.844834,76.943246
SLD_00386,Landslide,9.846082,76.938568
SLD_00387,Landslide,9.846082,76.938568
SLD_00388,Landslide,9.846452,76.93383
SLD_00389,Landslide,9.846452,76.93383
SLD_00390,Landslide,9.846759,76.881117
SLD_00391,Landslide,9.847146,77.159369
SLD_00392,Landslide,9.84728,76.94079
SLD_00393,Landslide,9.84728,76.94079
SLD_00394,Landslide,9.8478,76.954074
SLD_00395,Landslide,9.8478,76.954074
SLD_00396,Landslide,9.848333,77.116667
SLD_00397,Landslide,9.848525,77.161483
SLD_00398,Landslide,9.848542,76.952419
SLD_00399,Landslide,9.848542,76.952419
SLD_00400,Landslide,9.848743,76.944208
SLD_00401,Landslide,9.848743,76.944208
SLD_00402,Landslide,9.84898,76.936032
SLD_00403,Landslide,9.84898,76.936032
SLD_00404,Landslide,9.8494,76.960355
SLD_00405,Landslide,9.8494,76.960355
SLD_00406,Landslide,9.849505,76.96103
SLD_00407,Landslide,9.849505,76.96103
SLD_00408,Landslide,9.849827,77.098365
SLD_00409,Landslide,9.849927,77.115583
SLD_00410,Landslide,9.850162,76.96138
SLD_00411,Landslide,9.850162,76.96138
SLD_00412,Landslide,9.850453,76.939204
SLD_00413,Landslide,9.850453,76.939204
SLD_00414,Landslide,9.850571,76.936078
SLD_00415,Landslide,9.850571,76.936078
SLD_00416,Landslide,9.85097,76.945232
SLD_00417,Landslide,9.85097,76.945232
SLD_00418,Landslide,9.851094,77.13268
SLD_00419,Landslide,9.851416,76.949474
SLD_00420,Landslide,9.851416,76.949474
SLD_00421,Landslide,9.85143,76.959391
SLD_00422,Landslide,9.85143,76.959391
SLD_00423,Landslide,9.851786,76.944836
SLD_00424,Landslide,9.851786,76.944836
SLD_00425,Landslide,9.851827,77.204249
SLD_00426,Landslide,9.852045,76.971874
SLD_00427,Landslide,9.852045,76.971874
SLD_00428,Landslide,9.852096,77.155627
SLD_00429,Landslide,9.852183,76.962158
SLD_00430,Landslide,9.852183,76.962158
SLD_00431,Landslide,9.852386,77.14712
SLD_00432,Landslide,9.852708,77.143254
SLD_00433,Landslide,9.852933,77.097437
SLD_00434,Landslide,9.852998,77.143156
SLD_00435,Landslide,9.853401,76.945411
SLD_00436,Landslide,9.853401,76.945411
SLD_00437,Landslide,9.853464,77.148017
SLD_00438,Landslide,9.8538,76.9681
SLD_00439,Landslide,9.853882,76.959077
SLD_00440,Landslide,9.853882,76.959077
SLD_00441,Landslide,9.853966,76.958668
SLD_00442,Landslide,9.853966,76.958668
SLD_00443,Landslide,9.854149,76.959872
SLD_00444,Landslide,9.854149,76.959872
SLD_00445,Landslide,9.854267,76.958114
SLD_00446,Landslide,9.854267,76.958114
SLD_00447,Landslide,9.854288,76.959153
SLD_00448,Landslide,9.854288,76.959153
SLD_00449,Landslide,9.854614,77.206592
SLD_00450,Landslide,9.854676,76.960933
SLD_00451,Landslide,9.854676,76.960933
SLD_00452,Landslide,9.854932,76.966613
SLD_00453,Landslide,9.854932,76.966613
SLD_00454,Landslide,9.854962,77.108269
SLD_00455,Landslide,9.855012,76.962183
SLD_00456,Landslide,9.855012,76.962183
SLD_00457,Landslide,9.855086,77.150333
SLD_00458,Landslide,9.855108,76.96903
SLD_00459,Landslide,9.855108,76.96903
SLD_00460,Landslide,9.855504,76.852807
SLD_00461,Landslide,9.855592,76.863036
SLD_00462,Landslide,9.855887,76.968706
SLD_00463,Landslide,9.855887,76.968706
SLD_00464,Landslide,9.855891,76.960293
SLD_00465,Landslide,9.855891,76.960293
SLD_00466,Landslide,9.85592,76.967758
SLD_00467,Landslide,9.85592,76.967758
SLD_00468,Landslide,9.855987,76.965553
SLD_00469,Landslide,9.855987,76.965553
SLD_00470,Landslide,9.856389,76.888333
SLD_00471,Landslide,9.856484,76.965492
SLD_00472,Landslide,9.856484,76.965492
SLD_00473,Landslide,9.856635,76.962904
SLD_00474,Landslide,9.856635,76.962904
SLD_00475,Landslide,9.856677,76.963387
SLD_00476,Landslide,9.856677,76.963387
SLD_00477,Landslide,9.856794,76.965038
SLD_00478,Landslide,9.856794,76.965038
SLD_00479,Landslide,9.856918,76.871813
SLD_00480,Landslide,9.856918,76.871813
SLD_00481,Landslide,9.85704,77.122966
SLD_00482,Landslide,9.857204,76.966152
SLD_00483,Landslide,9.857204,76.966152
SLD_00484,Landslide,9.857261,77.122211
